材料ID,品牌,车系,分析对象名称,车型价格范围,能源形式,车身形式,级别,座位数,来源类型,来源平台,地区,时间,年龄段,职业,家庭结构,是否已购,购车阶段,决策周期,主要决策人,决策影响人,用户原文,数据性质,拟定依据,参考来源标题,参考来源平台,参考来源URL
UM0001,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,传统燃料/常规混合动力,轿车,中大型,5座,用户评论,车质网,山东,2026-08,30-35岁,私营业主,已婚二孩,未购,试驾体验,2个月以上,家庭共同决策,朋友/同事,看奥迪A6L主要是因为品牌稳、商务场合不出错，后排空间和隔音确实有传统豪华车的底子。我也比较了奔驰E级，奥迪的优惠和开起来的轻松感更吸引我，但车机智能化还是短板。,公开网页用户评论风格改写,奥迪A6L公开口碑中常见空间、隔音、底盘、豪华感和车机智能化、低速顿挫/维修等反馈。,奥迪A6L 车质网口碑,车质网,https://www.12365auto.com/review/1_0_0_1.shtml
UM0002,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,传统燃料/常规混合动力,轿车,中大型,5座,访谈记录,销售反馈模拟,上海,2026-07,40-45岁,公务员/事业单位,已婚一孩,流失,已购复盘,1-2个月,本人+父母,无明显影响人,家里和公司都能用，所以我会优先考虑奥迪A6L这种成熟车型。它的后排空间和底盘质感是优势，不过现在新能源车配置给得太满，和宝马5系比起来会觉得智能座舱不够新。,公开网页访谈记录风格改写,A6L网友印象中有豪华、科技感、大气、空间不错，以及烧机油、小毛病等负向印象。,奥迪A6L 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg4313/s48976/t3.0/
UM0003,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,传统燃料/常规混合动力,轿车,中大型,5座,问卷回答,公开论坛/社区讨论,四川,2026-06,50岁以上,私营业主,商务+家庭兼用,未购,初步了解,1个月内,本人+配偶,父母,我对奥迪A6L的顾虑主要是后期维修保养和车机智能化，但是它的品牌认可度、乘坐体面感和售后体系比较稳。如果销售能把用车成本和保值解释清楚，我会更容易接受。,公开网页问卷回答风格改写,奥迪A6L公开口碑中常见空间、隔音、底盘、豪华感和车机智能化、低速顿挫/维修等反馈。,奥迪A6L 车质网口碑,车质网,https://www.12365auto.com/review/1_0_0_1.shtml
UM0004,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,传统燃料/常规混合动力,轿车,中大型,5座,销售反馈,销售反馈模拟,湖北,2026-05,30-35岁,公务员/事业单位,已婚二孩,流失,试驾体验,2周左右,本人,朋友/同事,如果客户在奥迪A6L和凯迪拉克CT6之间犹豫，我觉得不能只说品牌，还是要讲清楚后排、隔音、底盘和优惠后的真实成交价值。对商务用户来说，稳定和体面感很重要。,公开网页销售反馈风格改写,奥迪A6L公开口碑中常见空间、隔音、底盘、豪华感和车机智能化、低速顿挫/维修等反馈。,奥迪A6L 车质网口碑,车质网,https://www.12365auto.com/review/1_0_0_1.shtml
UM0005,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,传统燃料/常规混合动力,轿车,中大型,5座,用户评论,太平洋汽车,江苏,2026-04,40-45岁,私营业主,已婚一孩,未购,已购复盘,1周内,公司/家庭共同使用者,无明显影响人,试驾后我觉得奥迪A6L的底盘质感比很多新势力更扎实，长途开起来轻松。只是车机响应和智能化功能确实没有那么讨喜，年轻用户可能会因此转向新能源竞品。,公开网页用户评论风格改写,A6L网友印象中有豪华、科技感、大气、空间不错，以及烧机油、小毛病等负向印象。,奥迪A6L 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg4313/s48976/t3.0/
UM0006,上汽通用五菱,星光L,星光L,11.28-13.58万,常规混合动力,SUV,中大型,6座,用户评论,车质网,北京,2026-08,25-30岁,互联网产品/运营,三代同住,意向中,对比评估,2个月以上,家庭共同决策,孩子,关注星光L主要是因为通过性和家庭出行适配，价格在11.28-13.58万这个区间内比较有吸引力。对比同价位竞品时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0007,上汽通用五菱,星光L,星光L,11.28-13.58万,常规混合动力,SUV,中大型,6座,访谈记录,公开网页评论整理,河南,2026-07,35-40岁,金融/咨询从业者,已婚一孩,已购,价格谈判,1-2个月,本人+父母,销售顾问,我对星光L的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0008,上汽通用五菱,星光L,星光L,11.28-13.58万,常规混合动力,SUV,中大型,6座,问卷回答,公开问卷语料模拟,广东,2026-06,45-50岁,企业职员,三代同住,意向中,流失反馈,1个月内,本人+配偶,配偶,选车时把星光L和新能源替代车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0009,特斯拉,Model Y,Model Y,26.35-31.35万,纯电动,SUV,中型,5座,用户评论,太平洋汽车,上海,2026-07,40-45岁,私营业主,已婚一孩,未购,已购复盘,1-2个月,本人+父母,无明显影响人,关注Model Y主要是因为电耗表现和驾驶响应，价格在26.35-31.35万这个区间内比较有吸引力。对比小鹏G6时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,Model Y公开点评总结强调极简内饰、储物空间、Autopilot、OTA和用车经济性；顾虑涉及内饰质感、舒适性、冬季续航和保险/维修费用。,Model Y 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg26651/
UM0010,特斯拉,Model Y,Model Y,26.35-31.35万,纯电动,SUV,中型,5座,访谈记录,销售反馈模拟,四川,2026-06,50岁以上,自由职业者,三代同住,流失,初步了解,1个月内,本人+配偶,父母,我对Model Y的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是舒适性，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,Model Y公开点评总结强调极简内饰、储物空间、Autopilot、OTA和用车经济性；顾虑涉及内饰质感、舒适性、冬季续航和保险/维修费用。,Model Y 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg26651/
UM0011,特斯拉,Model Y,Model Y,26.35-31.35万,纯电动,SUV,中型,5座,问卷回答,公开论坛/社区讨论,湖北,2026-05,30-35岁,公务员/事业单位,未婚/两人家庭,未购,试驾体验,2周左右,本人,朋友/同事,选车时把Model Y和理想L6放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在驾驶响应，不足可能是辅助驾驶付费，需要试驾后再判断。,公开网页问卷回答风格改写,Model Y公开点评总结强调极简内饰、储物空间、Autopilot、OTA和用车经济性；顾虑涉及内饰质感、舒适性、冬季续航和保险/维修费用。,Model Y 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg26651/
UM0012,方程豹,钛7,钛7,17.98-23.98万,非增程式插混/纯电动,SUV,中型,5座,用户评论,车质网,广东,2026-06,25-30岁,设计/传媒从业者,商务+家庭兼用,已购,对比评估,1个月内,本人+配偶,孩子,关注钛7主要是因为通过性和家庭出行适配，价格在17.98-23.98万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0013,方程豹,钛7,钛7,17.98-23.98万,非增程式插混/纯电动,SUV,中型,5座,访谈记录,公开问卷语料模拟,浙江,2026-05,35-40岁,个体经营者,已婚未育,意向中,价格谈判,2周左右,本人,销售顾问,我对钛7的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0014,方程豹,钛7,钛7,17.98-23.98万,非增程式插混/纯电动,SUV,中型,5座,问卷回答,公开网页评论整理,湖南,2026-04,45-50岁,制造业管理岗,已婚二孩,已购,流失反馈,1周内,公司/家庭共同使用者,配偶,选车时把钛7和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0015,比亚迪,大唐,大唐,23.99-30.99万,纯电动,SUV,大型,7座,用户评论,车质网,湖北,2026-05,40-45岁,互联网产品/运营,商务+家庭兼用,流失,已购复盘,2周左右,本人,无明显影响人,关注大唐主要是因为通过性和家庭出行适配，价格在23.99-30.99万这个区间内比较有吸引力。对比五菱星光时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0016,比亚迪,大唐,大唐,23.99-30.99万,纯电动,SUV,大型,7座,访谈记录,公开论坛/社区讨论,江苏,2026-04,50岁以上,金融/咨询从业者,已婚二孩,未购,初步了解,1周内,公司/家庭共同使用者,父母,我对大唐的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0017,比亚迪,大唐,大唐,23.99-30.99万,纯电动,SUV,大型,7座,问卷回答,销售反馈模拟,山东,2026-08,30-35岁,企业职员,商务+家庭兼用,流失,试驾体验,2个月以上,家庭共同决策,朋友/同事,选车时把大唐和吉利银河放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0018,吉利汽车,星愿,星愿,6.48-9.48万,纯电动,轿车,小型,5座,用户评论,车质网,湖南,2026-04,25-30岁,私营业主,商务+家庭兼用,意向中,对比评估,1周内,公司/家庭共同使用者,孩子,关注星愿主要是因为通勤舒适和外观协调，价格在6.48-9.48万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0019,吉利汽车,星愿,星愿,6.48-9.48万,纯电动,轿车,小型,5座,访谈记录,公开网页评论整理,北京,2026-08,35-40岁,自由职业者,已婚未育,已购,价格谈判,2个月以上,家庭共同决策,销售顾问,我对星愿的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0020,吉利汽车,星愿,星愿,6.48-9.48万,纯电动,轿车,小型,5座,问卷回答,公开问卷语料模拟,河南,2026-07,45-50岁,公务员/事业单位,已婚二孩,意向中,流失反馈,1-2个月,本人+父母,配偶,选车时把星愿和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0021,广汽丰田,凯美瑞,凯美瑞,17.98-25.98万,传统燃料/常规混合动力,轿车,中型,5座,用户评论,车质网,山东,2026-08,40-45岁,设计/传媒从业者,已婚一孩,未购,已购复盘,2个月以上,家庭共同决策,无明显影响人,关注凯美瑞主要是因为通勤舒适和外观协调，价格在17.98-25.98万这个区间内比较有吸引力。对比理想L6时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0022,广汽丰田,凯美瑞,凯美瑞,17.98-25.98万,传统燃料/常规混合动力,轿车,中型,5座,访谈记录,销售反馈模拟,上海,2026-07,50岁以上,个体经营者,三代同住,流失,初步了解,1-2个月,本人+父母,父母,我对凯美瑞的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0023,广汽丰田,凯美瑞,凯美瑞,17.98-25.98万,传统燃料/常规混合动力,轿车,中型,5座,问卷回答,公开论坛/社区讨论,四川,2026-06,30-35岁,制造业管理岗,未婚/两人家庭,未购,试驾体验,1个月内,本人+配偶,朋友/同事,选车时把凯美瑞和本田同级车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0024,上汽通用五菱,华境S,华境S,15.98-20.38万,非增程式插混,SUV,大型,6座,用户评论,车质网,河南,2026-07,25-30岁,互联网产品/运营,已婚一孩,已购,对比评估,1-2个月,本人+父母,孩子,关注华境S主要是因为通过性和家庭出行适配，价格在15.98-20.38万这个区间内比较有吸引力。对比同价位竞品时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0025,上汽通用五菱,华境S,华境S,15.98-20.38万,非增程式插混,SUV,大型,6座,访谈记录,公开问卷语料模拟,广东,2026-06,35-40岁,金融/咨询从业者,三代同住,意向中,价格谈判,1个月内,本人+配偶,销售顾问,我对华境S的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0026,上汽通用五菱,华境S,华境S,15.98-20.38万,非增程式插混,SUV,大型,6座,问卷回答,公开网页评论整理,浙江,2026-05,45-50岁,企业职员,已婚一孩,已购,流失反馈,2周左右,本人,配偶,选车时把华境S和新能源替代车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0027,北京奔驰,奔驰E级,奔驰E级,37.88-59.98万,常规混合动力,轿车,中大型,5座,用户评论,太平洋汽车,四川,2026-06,40-45岁,公务员/事业单位,已婚一孩,流失,已购复盘,1个月内,本人+配偶,无明显影响人,关注奔驰E级主要是因为豪华感和后排空间，价格在37.88-59.98万这个区间内比较有吸引力。对比宝马5系时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,奔驰E级公开点评总结强调后排空间、豪华内饰和科技感；配置差异和座椅/细节也有反馈。,奔驰E级 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg1603/m112715/
UM0028,北京奔驰,奔驰E级,奔驰E级,37.88-59.98万,常规混合动力,轿车,中大型,5座,访谈记录,公开论坛/社区讨论,湖北,2026-05,50岁以上,私营业主,商务+家庭兼用,未购,初步了解,2周左右,本人,父母,我对奔驰E级的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是价格权益，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,奔驰E级公开点评总结强调后排空间、豪华内饰和科技感；配置差异和座椅/细节也有反馈。,奔驰E级 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg1603/m112715/
