样本ID,品牌,车系,分析对象名称,车型价格范围,价格段,能源形式,车身形式,级别,座位数,地区,调查时间,年龄段,性别,职业,家庭年收入区间,家庭结构,家庭成员,是否有孩,是否有老人同住/常乘坐,当前用车状态,首购/增购/换购,原有车型/品牌,购车预算,购车阶段,决策周期,主要决策人,决策影响人,购车动因,主要使用场景,信息来源,是否试驾,最关注因素,关注理由,主要顾虑,对比车型,最终倾向,是否成交,流失原因,开放题摘要,沟通触点建议,数据性质,拟定依据,参考来源标题,参考来源URL
S001-01,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,湖北省,2026-08-17,41-45岁,男,公务员/事业单位,50-80万,已婚一孩,1人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,已购/用车复盘,2个月以上,企业/业务需求,父母；车主评价,换新能源；家庭品质升级；品牌升级,周末短途；商务接待,品牌直营店/4S店；朋友/同事推荐,是,品牌认知；静谧性；安全性,在意品牌形象和商务/社交场景认可度,底盘舒适性；价格是否值得,宝马5系；奔驰E级,倾向本品,待定,,受访者关注品牌认知，主要用于周末短途；同时对底盘舒适性仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕周末短途场景切入，再把品牌认知转化为可感知体验；对底盘舒适性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-02,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,河南省,2026-08-24,36-40岁,男,公务员/事业单位,50-80万,已婚二孩及以上,3人,是,否,无车,首购,无车,30-60万,已购/用车复盘,1-2个月,本人+配偶,子女；配偶；父母,商务接待；空间升级；家庭品质升级,周末短途；城市通勤,小红书/抖音内容；懂车帝/汽车之家口碑,是,安全性；品牌体面感；通勤舒适,在意品牌形象和商务/社交场景认可度,竞品是否更强；价格是否值得,宝马5系；奔驰E级,价格合适会买,待定,,受访者关注安全性，主要用于周末短途；同时对竞品是否更强仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕周末短途场景切入，再把安全性转化为可感知体验；对竞品是否更强需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-03,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,四川省,2026-06-16,41-45岁,男,中基层管理者,50-80万,已婚无孩,2人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,对比评估,2周-1个月,本人+配偶,配偶；KOL/博主；车主评价,换新能源；家庭品质升级,商务接待；城市通勤；家庭出行,KOL评测；小红书/抖音内容；懂车帝/汽车之家口碑,是,后排空间；保值率；外观设计；豪华感/质感,希望在预算内获得更稳定的综合体验,后排空间是否够用；配置性价比；后排地台隆起,宝马5系；奔驰E级；奥迪A7L,倾向本品,待定,,受访者关注后排空间，主要用于商务接待；同时对后排空间是否够用仍有疑问，决策中会对比宝马5系；奔驰E级；奥迪A7L。,先围绕商务接待场景切入，再把后排空间转化为可感知体验；对后排空间是否够用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-04,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,湖北省,2026-07-02,31-35岁,男,中基层管理者,50-80万,商务/个人用车,2人,否,是,家中已有新能源车,增购,家中已有新能源车,30-60万,已试驾,2个月以上,本人+配偶,KOL/博主；朋友/同事；车主评价,空间升级；通勤代步,商务接待；家庭出行,朋友/同事推荐；KOL评测；小红书/抖音内容,否,空间舒适；品牌认知；保值率；品牌体面感,希望兼顾家人乘坐和周末出行；在意品牌形象和商务/社交场景认可度,权益透明度；保养维修成本,宝马5系；奔驰E级,倾向本品,待定,,受访者关注空间舒适，主要用于商务接待；同时对权益透明度仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕商务接待场景切入，再把空间舒适转化为可感知体验；对权益透明度需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-05,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,湖北省,2026-08-27,36-40岁,女,中基层管理者,30-50万,已婚无孩,2人,否,否,家中已有燃油车,增购,家中已有燃油车,30-60万,已试驾,2周-1个月,本人+配偶,KOL/博主；朋友/同事；配偶,换新能源；空间升级,周末短途；家庭出行,小红书/抖音内容；车主群/社群讨论,是,商务形象；通勤舒适；价格权益,希望同预算下配置和权益更划算,后排空间是否够用；后排地台隆起,宝马5系；奔驰E级,继续比较,待定,,受访者关注商务形象，主要用于周末短途；同时对后排空间是否够用仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕周末短途场景切入，再把商务形象转化为可感知体验；对后排空间是否够用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-06,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,山东省,2026-08-09,36-40岁,男,企业高管/企业主,30-50万,已婚一孩,3人,是,否,家中已有新能源车,增购,家中已有新能源车,30-60万,对比评估,2周-1个月,本人,父母；车主评价,通勤代步；商务接待；品牌升级,商务接待；城市通勤,懂车帝/汽车之家口碑；品牌直营店/4S店；朋友/同事推荐,是,驾驶质感；乘坐舒适；后排空间；优惠力度,希望在预算内获得更稳定的综合体验,权益透明度；后备厢空间,宝马5系；奔驰E级；奥迪A7L,倾向本品,待定,,受访者关注驾驶质感，主要用于商务接待；同时对权益透明度仍有疑问，决策中会对比宝马5系；奔驰E级；奥迪A7L。,先围绕商务接待场景切入，再把驾驶质感转化为可感知体验；对权益透明度需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-07,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,河南省,2026-06-03,36-40岁,男,企业高管/企业主,50-80万,已婚一孩,5人及以上,是,是,家中已有燃油车,增购,家中已有燃油车,30-60万,已购/用车复盘,1-2个月,本人,父母；车主评价；配偶,商务接待；空间升级,家庭出行；周末短途；商务接待,朋友/同事推荐；车主群/社群讨论；KOL评测,是,价格权益；售后服务；驾驶质感,希望同预算下配置和权益更划算,保值率；保养维修成本；底盘舒适性,宝马5系；奔驰E级,倾向本品,待定,,受访者关注价格权益，主要用于家庭出行；同时对保值率仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕家庭出行场景切入，再把价格权益转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-08,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,广东省,2026-06-09,41-45岁,男,中基层管理者,100万以上,已婚一孩,5人及以上,是,是,家中已有新能源车,增购,家中已有新能源车,30-60万,流失/转向竞品,2个月以上,本人,子女；KOL/博主,品牌升级；商务接待；通勤代步,商务接待；城市通勤；家庭出行,KOL评测；车主群/社群讨论；小红书/抖音内容,是,品牌认知；安全性；品牌体面感,在意品牌形象和商务/社交场景认可度,后备厢空间；保值率,宝马5系；奔驰E级,已下订,是,,受访者关注品牌认知，主要用于商务接待；同时对后备厢空间仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕商务接待场景切入，再把品牌认知转化为可感知体验；对后备厢空间需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-09,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,湖北省,2026-06-23,31-35岁,男,企业高管/企业主,30-50万,已婚一孩,5人及以上,是,是,无车,首购,无车,30-60万,已试驾,2周-1个月,企业/业务需求,配偶；子女,家庭兼商务；通勤代步；家庭品质升级,商务接待；周末短途,KOL评测；朋友/同事推荐；小红书/抖音内容,是,通勤舒适；可靠性；品牌认知,在意品牌形象和商务/社交场景认可度,竞品是否更强；后排空间是否够用,宝马5系；奔驰E级；奥迪A7L,倾向本品,待定,,受访者关注通勤舒适，主要用于商务接待；同时对竞品是否更强仍有疑问，决策中会对比宝马5系；奔驰E级；奥迪A7L。,先围绕商务接待场景切入，再把通勤舒适转化为可感知体验；对竞品是否更强需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-10,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,北京市,2026-06-07,41-45岁,男,中基层管理者,50-80万,已婚无孩,5人及以上,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,价格谈判,1-2个月,本人,车主评价；朋友/同事；配偶,通勤代步；空间升级,周末短途；商务接待,KOL评测；品牌直营店/4S店；懂车帝/汽车之家口碑,是,商务形象；乘坐舒适；品牌认知；品牌体面感,在意品牌形象和商务/社交场景认可度,价格是否值得；后排地台隆起；油耗是否偏高,宝马5系；奔驰E级,价格合适会买,待定,,受访者关注商务形象，主要用于周末短途；同时对价格是否值得仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕周末短途场景切入，再把商务形象转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
