品牌,车系,分析字段名称,价格下限,价格上限,价格段,能源形式,车身形式,级别,座位数
一汽奥迪,奥迪A6L,奥迪A6L（汽油）,32.89 ,49.98 ,,传统燃料,轿车,中大型,5座
一汽奥迪,奥迪A6L,奥迪A6L（油电混合）,38.79 ,46.27 ,,常规混合动力,轿车,中大型,5座
一汽奥迪,奥迪A6L,奥迪A6L（轻混）,55.89 ,55.89 ,,常规混合动力,轿车,中大型,5座
上汽通用五菱,星光L,星光L,11.28 ,13.58 ,,常规混合动力,SUV,中大型,6座
特斯拉,Model Y,Model Y,26.35 ,31.35 ,,纯电动,SUV,中型,5座
方程豹,钛7,钛7（插电式混合动力）,19.98 ,23.98 ,,插电式混合动力,SUV,中型,5座
方程豹,钛7,钛7（纯电动）,17.98 ,21.98 ,,纯电动,SUV,中型,5座
比亚迪,大唐,大唐,23.99 ,30.99 ,,纯电动,SUV,大型,7座
吉利汽车,星愿,星愿,6.48 ,9.48 ,,纯电动,轿车,小型,5座
广汽丰田,凯美瑞,凯美瑞（汽油）,17.98 ,19.68 ,,汽油,轿车,中型,5座
广汽丰田,凯美瑞,凯美瑞（油电混合）,17.98 ,25.98 ,,常规混合动力,轿车,中型,5座
上汽通用五菱,华境S,华境S,15.98 ,20.38 ,,非增程式插混,SUV,大型,6座
北京奔驰,奔驰E级,奔驰E级,37.88 ,59.98 ,,常规混合动力,轿车,中大型,5座
一汽丰田,RAV4荣放,RAV4荣放（汽油）,17.98 ,18.98 ,,传统燃料,SUV,紧凑型,5座
一汽丰田,RAV4荣放,RAV4荣放（油电混合）,16.98 ,22.88 ,,常规混合动力,SUV,紧凑型,5座
零跑,零跑A10,零跑A10,6.58 ,8.68 ,,纯电动,SUV,小型,5座
华晨宝马,宝马3系,宝马3系,25.80 ,33.80 ,,传统燃料,轿车,中型,5座
理想,理想L6,理想L6,24.98 ,24.98 ,,增程式插混,SUV,中大型,5座
小鹏,小鹏MONA L03,小鹏MONA L03（纯电动）,12.38 ,15.68 ,,纯电动,SUV,紧凑型,5座
小鹏,小鹏MONA L03,小鹏MONA L03（增程式插混）,12.38 ,14.68 ,,增程式插混,SUV,紧凑型,5座
一汽奥迪,奥迪Q5L,奥迪Q5L（汽油）,34.98 ,39.98 ,,传统燃料,SUV,中型,5座
一汽奥迪,奥迪Q5L,奥迪Q5L（油电混合）,30.98 ,38.38 ,,常规混合动力,SUV,中型,5座
东风日产,日产NX8,日产NX8（纯电动）,15.99 ,20.99 ,,纯电动,SUV,中大型,5座
东风日产,日产NX8,日产NX8（增程式）,15.99 ,17.99 ,,增程式插混,SUV,中大型,5座
上汽通用五菱,宏光MINIEV,宏光MINIEV,3.58 ,5.58 ,,纯电动,轿车,微型,4座
长安汽车,长安Lumin,长安Lumin,3.79 ,6.59 ,,纯电动,轿车,微型,4座
上汽通用五菱,五菱宏光,五菱宏光,4.60 ,6.09 ,,纯电动,轿车,微型,4座
一汽奔腾,奔腾小马,奔腾小马,3.49 ,4.59 ,,纯电动,轿车,微型,4座
奇瑞新能源,QQ冰淇淋,QQ冰淇淋,3.69 ,4.99 ,,纯电动,轿车,微型,4座
凯翼汽车,凯翼拾月,凯翼拾月,4.79 ,6.99 ,,纯电动,轿车,微型,5座
睿蓝汽车,睿蓝蓝气球,睿蓝蓝气球,4.69 ,5.09 ,,纯电动,轿车,微型,4座
五菱新能源,埃尚,埃尚,3.98 ,5.28 ,,纯电动,轿车,微型,4座
比亚迪,海鸥,海鸥,6.98 ,8.59 ,,纯电动,轿车,微型,4座
上汽大众,朗逸,朗逸,7.99 ,15.19 ,,传统燃料,轿车,紧凑型,5座
比亚迪,秦PLUS,秦PLUS（纯电）,7.98 ,10.38 ,,纯电动,轿车,紧凑型,5座
比亚迪,秦PLUS,秦PLUS（插电式混合动力）,8.98 ,17.98 ,,非增程式插混,轿车,紧凑型,5座
长安启源,长安启源Q05,长安启源Q05,7.99 ,11.49 ,,纯电动,SUV,紧凑型,5座
一汽大众,速腾,速腾,9.38 ,16.49 ,,传统燃料,轿车,紧凑型,5座
比亚迪,元UP,元UP,7.48 ,11.98 ,,纯电动,SUV,小型,5座
比亚迪,海豹06,海豹06,10.98 ,12.98 ,,纯电动,轿车,中型,5座
比亚迪,海豹06,海豹06,9.68 ,13.98 ,,非增程式插混,轿车,中型,5座
比亚迪,秦L,秦L,11.98 ,13.98 ,,纯电动,轿车,中型,5座
比亚迪,秦L,秦L,9.68 ,15.38 ,,非增程式插混,轿车,中型,5座
长城汽车,坦克300,坦克300,19.98 ,23.48 ,,传统燃料,SUV,紧凑型,5座
一汽大众,迈腾,迈腾,17.49 ,24.69 ,,传统燃料,轿车,中型,5座
上汽大众,帕萨特,帕萨特,16.49 ,30.98 ,,传统燃料,轿车,中型,5座
广汽本田,雅阁,雅阁,17.98 ,21.48 ,,传统燃料,轿车,中型,5座
吉利汽车,星越L,星越L（汽油）,13.98 ,16.87 ,,传统燃料,SUV,紧凑型,5座
吉利汽车,星越L,星越L（油电混合）,14.57 ,17.77 ,,常规混合动力,SUV,紧凑型,5座
AITO问界,问界M6,问界M6（纯电动）,22.98 ,29.98 ,,纯电动,SUV,中大型,5座
AITO问界,问界M6,问界M6（增程）,25.98 ,27.98 ,,增程式插混,SUV,中大型,5座
AITO问界,问界M7,问界M7（2026款增程）,29.98 ,35.98 ,,增程式插混,SUV,中大型,5座/6座
AITO问界,问界M7,问界M7（2026款纯电）,31.98 ,37.98 ,,纯电动,SUV,中大型,5座/6座
北京奔驰,奔驰C级,奔驰C级,29.99 ,34.56 ,,常规混合动力,轿车,中型,5座
比亚迪,海豹08,海豹08,19.69 ,23.99 ,,纯电动,轿车,中大型,5座
比亚迪,海豹08,海豹08,19.69 ,22.99 ,,非增程式插混,,中大型,5座
理想汽车,理想i6,理想i6,24.98 ,26.98 ,,纯电动,SUV,中大型,5座
北京奔驰,奔驰E级,奔驰E级,37.88 ,59.98 ,,常规混合动力,轿车,中大型,5座
北京奔驰,奔驰GLC,奔驰GLC（5座）,35.18 ,46.28 ,,常规混合动力,SUV,中型,5座
北京奔驰,奔驰GLC,奔驰GLC（7座）,42.68 ,42.68 ,,常规混合动力,SUV,中型,7座
华晨宝马,宝马5系,宝马5系,36.80 ,44.80 ,,常规混合动力,轿车,中大型,5座
广汽丰田,赛那SIENNA,赛那SIENNA,29.88 ,39.38 ,,常规混合动力,MPV,中大型,7座
广汽丰田,汉兰达,汉兰达（汽油）,24.84 ,29.58 ,,传统燃料,SUV,中型,7座
广汽丰田,汉兰达,汉兰达（油电混动5座）,24.98 ,24.98 ,,常规混合动力,SUV,中型,5座
广汽丰田,汉兰达,汉兰达（油电混动7座）,25.78 ,32.58 ,,常规混合动力,SUV,中型,7座
一汽奥迪,奥迪A4L,奥迪A4L,28.98 ,36.28 ,,传统燃料,轿车,中型,5座
小米汽车,小米SU7,小米SU7,21.99 ,30.39 ,,纯电动,轿车,中大型车,5座
岚图汽车,岚图泰山,岚图泰山,37.99 ,50.99 ,,非增程式插混,SUV,大型,6座
AITO问界,问界M9,问界M9（纯电5座）,64.98 ,64.98 ,,纯电动,SUV,大型,5座
AITO问界,问界M9,问界M9（6座纯电）,65.98 ,65.98 ,,纯电动,SUV,大型,6座
AITO问界,问界M9,问界M9（5座增程）,53.98 ,64.98 ,,增程式插混,SUV,大型,5座
AITO问界,问界M9,问界M9（6座增程）,54.98 ,65.98 ,,增程式插混,SUV,大型,6座
一汽丰田,普拉多,普拉多（5座）,44.98 ,55.98 ,,常规混合动力,SUV,中大型,5座
一汽丰田,普拉多,普拉多（6座）,54.98 ,54.98 ,,常规混合动力,SUV,中大型,6座
腾势汽车,腾势D9,腾势D9（纯电）,31.98 ,46.98 ,,纯电动,MPV,中大型,7座
腾势汽车,腾势D9,腾势D9（插电式混合动力4座）,60.06 ,60.06 ,,非增程式插混,MPV,中大型,4座
腾势汽车,腾势D9,腾势D9（插电式混合动力7座）,30.98 ,45.98 ,,非增程式插混,MPV,中大型,7座
极氪,极氪9X,极氪9X,46.59 ,59.99 ,,非增程式插混,SUV,大型,6座
蔚来,蔚来ES8,蔚来ES8（5座）,38.28 ,42.28 ,,纯电动,SUV,大型,5座
蔚来,蔚来ES8,蔚来ES8（6座）,40.68 ,44.68 ,,纯电动,SUV,大型,6座
蔚来,蔚来ES8,蔚来ES8（7座）,40.68 ,40.68 ,,纯电动,SUV,大型,7座
岚图汽车,岚图梦想家,岚图梦想家,30.99 ,46.99 ,,纯电动,MPV,中大型,7座
岚图汽车,岚图梦想家,岚图梦想家,70.99 ,70.99 ,,非增程式插混,MPV,中大型,4座
岚图汽车,岚图梦想家,岚图梦想家,31.59 ,45.99 ,,非增程式插混,MPV,中大型,7座
方程豹,豹8,豹8,41.98 ,41.98 ,,非增程式插混,SUV,中大型,5座
方程豹,豹8,豹8,42.78 ,42.78 ,,非增程式插混,SUV,中大型,6座
方程豹,豹8,豹8,41.98 ,41.98 ,,非增程式插混,SUV,中大型,7座
理想汽车,理想L9,理想L9,45.98 ,50.98 ,,增程式插混,SUV,大型,6座
理想汽车,理想L8,理想L8,36.98 ,42.98 ,,增程式插混,SUV,中大型,5座
奇瑞捷豹路虎,揽胜极光,揽胜极光,42.98 ,47.58 ,,常规混合动力,SUV,中性,5座
华晨宝马,宝马X5,宝马X5,59.80 ,74.80 ,,常规混合动力,SUV,中大型,5座
北京奔驰,奔驰GLC新能源,奔驰GLC新能源（纯电）,33.98 ,33.98 ,,纯电动,SUV,中型,5座
北京奔驰,奔驰GLC新能源,奔驰GLC新能源（插电混动）,51.80 ,51.80 ,,非增程式插混,SUV,中型,5座
